Depth ice/snow [m],Depth ref [m] (For EDC96 depth levels the co...),Gas age,CH4 [ppbv],CH4 std dev [±]
99.34,99.53,0,907,10
102.575,102.765,0.148,761.7,10
104.775,104.965,0.212,682.7,10
106.625,106.815,0.28,675,10
109.83,110.02,0.4,684.3,10
113.025,113.215,0.513,644.3,10
115.225,115.415,0.572,685,10
118.475,118.665,0.677,666.7,10
120.85,121.04,0.768,679.5,10
121.15,121.34,0.775,643.3,10
124.575,124.765,0.874,647,10
126.775,126.965,0.951,623.7,10
129.175,129.365,1.029,634.7,10
131.83,132.02,1.116,643.7,10
134.475,134.665,1.201,628.7,10
137.775,137.965,1.305,620,10
140.725,140.915,1.402,631.3,10
143.38,143.57,1.489,631.7,10
146.025,146.215,1.571,623.3,10
148.775,148.965,1.673,608,10
150.625,150.815,1.734,613,10
153.83,154.02,1.855,613.3,10
157.575,157.765,1.982,603.7,10
159.775,159.965,2.069,608.7,10
162.045,162.235,2.134,601.7,10
165.275,165.465,2.262,597,10
168.09,168.28,2.366,591.7,10
170.4,170.59,2.456,596.5,10
173.045,173.235,2.552,591.7,10
176.275,176.465,2.657,580,10
178.475,178.665,2.741,578.3,10
180.78,180.97,2.804,577,10
185.275,185.465,2.977,572.7,10
187.275,187.465,3.04,576,10
189.475,189.665,3.133,567.7,10
192.33,192.52,3.23,581.3,10
195.725,195.915,3.363,572.7,10
201.025,201.215,3.531,577.7,10
203.33,203.52,3.621,578,10
203.465,203.655,3.626,580.7,10
205.625,205.815,3.714,569,10
209.275,209.465,3.842,569.3,10
212.025,212.215,3.946,567.7,10
214.33,214.52,4.036,575.7,10
214.47,214.66,4.04,563,10
215.98,216.17,4.097,570.3,10
220.38,220.57,4.249,577.3,10
220.52,220.71,4.257,567.7,10
222.475,222.665,4.331,569.7,10
225.225,225.415,4.447,561.7,10
227.625,227.815,4.526,561.7,10
231.4,231.59,4.667,563,10
233.475,233.665,4.737,563.3,10
236.225,236.415,4.843,567.7,10
240.145,240.335,4.984,561,10
241.85,242.04,5.051,563,10
244.475,244.665,5.17,558.3,10
247.775,247.965,5.282,553.7,10
250.595,250.785,5.387,565,10
252.85,253.04,5.47,566,10
256.025,256.215,5.58,568.3,10
258.775,258.965,5.682,569.7,10
259.98,260.17,5.711,584.3,10
263.83,264.02,5.868,575,10
268.125,268.315,6.026,564,10
269.225,269.415,6.058,581,10
271.625,271.815,6.163,576,10
275.825,276.015,6.318,577,10
278.025,278.215,6.397,580,10
279.78,279.97,6.47,587.7,10
283.595,283.785,6.622,607,10
285.725,285.915,6.694,595.3,10
287.995,288.185,6.783,603.3,10
291.33,291.52,6.922,605.3,10
294.175,294.365,7.045,607,10
297.275,297.465,7.158,609.7,10
299.475,299.665,7.258,607.3,10
302.33,302.52,7.375,618.3,10
305.08,305.27,7.489,601.7,10
308.275,308.465,7.6,611.7,10
311.025,311.215,7.716,609.7,10
311.675,311.865,7.731,617,10
312.225,312.415,7.751,621,10
313.33,313.52,7.804,622.7,10
316.08,316.27,7.928,623,10
317.145,317.335,7.961,623.3,10
317.725,317.915,7.986,617.7,10
319.275,319.465,8.041,610.7,10
320.525,320.715,8.096,613.7,10
321.025,321.215,8.121,620,10
321.615,321.805,8.148,597.7,10
322.215,322.405,8.173,612.3,10
322.745,322.935,8.191,589,10
323.315,323.505,8.211,614,10
324.35,324.54,8.25,624.3,10
325.425,325.615,8.298,632.3,10
325.98,326.17,8.327,605.7,10
327.075,327.265,8.374,632.7,10
327.625,327.815,8.393,651,10
328.175,328.365,8.412,640.3,10
329.85,330.04,8.476,641.9,10
330.24,330.43,8.488,640.7,10
333.025,333.215,8.61,649.3,10
335.775,335.965,8.702,659.7,10
338.08,338.27,8.802,653.7,10
340.83,341.02,8.904,657.3,10
343.475,343.665,9.016,659,10
346.775,346.965,9.14,657.5,10
349.08,349.27,9.241,657.3,10
351.85,352.04,9.347,670,10
355.575,355.765,9.48,664.7,10
357.225,357.415,9.545,665,10
359.53,359.72,9.615,663.3,10
362.725,362.915,9.739,673.7,10
368.88,369.07,9.946,682.3,10
370.975,371.165,10.024,683.3,10
374.38,374.57,10.133,676.3,10
377.025,377.215,10.24,682.3,10
379.33,379.52,10.298,685,10
381.525,381.715,10.388,678,10
385.34,385.53,10.514,698,10
388.09,388.28,10.613,678,10
389.78,389.97,10.682,688,10
393.525,393.715,10.824,661.3,10
396.24,396.43,10.935,652,10
399.025,399.215,11.038,666,10
401.33,401.52,11.119,680.7,10
404.525,404.715,11.241,673.3,10
407.24,407.43,11.342,703,10
411.125,411.315,11.484,633.3,10
412.775,412.965,11.558,654.3,10
415.08,415.27,11.631,664.7,10
418.275,418.465,11.765,559,10
421.13,421.32,11.865,469,10
427.08,427.27,12.085,467.7,10
429.24,429.43,12.188,477.3,10
431.475,431.665,12.294,482.7,10
434.33,434.52,12.411,462.3,10
436.975,437.165,12.545,466.7,10
443.13,443.32,12.849,542,10
445.775,445.965,12.994,627,10
448.08,448.27,13.116,643.3,10
450.725,450.915,13.253,646,10
453.58,453.77,13.4,661.7,10
456.78,456.97,13.571,653.3,10
460.14,460.33,13.727,645.7,10
463.375,463.565,13.89,618.7,10
464.58,464.77,13.937,613,10
467.305,467.495,14.089,630,10
469.53,469.72,14.196,611.7,10
472.94,473.13,14.353,578.3,10
479.43,479.62,14.671,464.7,10
483.83,484.02,14.868,461,10
486.99,487.18,15.035,459.3,10
489.775,489.965,15.175,473.3,10
491.53,491.72,15.274,475.7,10
495.825,496.015,15.491,451,10
498.68,498.87,15.635,451.7,10
501.325,501.515,15.786,456,10
506.275,506.465,16.071,473.3,10
508.99,509.18,16.23,418.7,10
511.772,511.965,16.391,427.3,10
514.482,514.68,16.548,404.7,10
519.562,519.77,16.898,408.3,10
519.701,519.91,16.91,381.3,10
525.6,525.82,17.323,371.3,10
528.24,528.465,17.494,383.7,10
530.949,531.18,17.73,366.3,10
532.631,532.865,17.855,371.3,10
536.439,536.68,18.163,375.3,10
539.218,539.465,18.425,371,10
543.592,543.848,18.798,378.7,10
548.515,548.78,19.221,365.7,10
550.197,550.465,19.366,377,10
552.577,552.85,19.591,353.8,10
555.686,555.965,19.871,375.7,10
557.437,557.72,20.009,375.3,10
561.175,561.465,20.355,380.8,10
563.885,564.18,20.578,378.3,10
569.374,569.68,21.074,353.7,10
572.159,572.47,21.32,357,10
575.552,575.87,21.613,357.3,10
577.847,578.17,21.811,355.3,10
585.433,585.77,22.509,407.3,10
590.313,590.66,22.929,390,10
594.215,594.57,23.246,389.7,10
598.607,598.97,23.667,398,10
602.998,603.37,24.043,360,10
607.39,607.77,24.452,388.7,10
613.977,614.37,24.997,369.7,10
618.857,619.26,25.447,355,10
629.865,630.29,26.478,387,10
634.232,634.665,26.905,395.9,10
638.129,638.57,27.275,426.3,10
643.04,643.49,27.709,399,10
646.912,647.37,28.018,414,10
656.184,656.66,28.826,367.7,10
662.791,663.28,29.391,399.3,10
669.388,669.89,29.922,409.7,10
673.26,673.77,30.274,391.7,10
677.662,678.18,30.67,412,10
688.645,689.185,31.656,409.2,30
693.541,694.09,32.074,432,10
697.413,697.97,32.401,444.3,10
701.804,702.37,32.801,478.7,10
704,704.57,32.969,419,10
708.906,709.485,33.399,428,10
712.813,713.4,33.736,489,10
717.174,717.77,34.135,514.3,10
723.791,724.4,34.668,444,10
728.183,728.8,35.051,441.3,10
732.544,733.17,35.417,488.3,10
739.62,740.26,36.017,536.3,10
743.632,744.28,36.371,556.7,10
748.413,749.07,36.753,481,10
752.335,753,37.063,443,10
761.607,762.29,37.755,441.3,10
765.48,766.17,38.021,443.7,10
767.675,768.37,38.182,427,10
772.546,773.25,38.584,422.3,10
775.5,,38.821,429,10
778.654,779.37,39.113,413,10
781,,39.33,417.7,10
783.045,783.77,39.523,419.7,10
786.515,,39.857,464.7,10
792.015,,40.419,413.7,10
803.535,,41.488,470,10
808.515,,41.963,463,10
814.015,,42.441,411.3,10
819.575,,42.955,427.3,10
825.565,,43.538,461.7,10
830.515,,43.984,466.7,10
835.985,,44.466,499.3,10
842.035,,44.923,514,10
847.015,,45.278,493,10
858.045,,46.079,436.7,10
863.515,,46.528,414,10
869.015,,46.991,435,10
875.035,,47.55,464,10
886.035,,48.516,469.7,10
891.015,,48.944,493,10
896.545,,49.419,515,10
902.015,,49.897,517,10
913.02,,50.78,542.7,10
918.515,,51.229,530,10
924.015,,51.666,513,10
929.515,,52.058,438,10
940.515,,52.958,475.7,10
946.015,,53.422,460.7,10
951.54,,53.892,483,10
957.015,,54.398,546,10
968.015,,55.347,541.7,10
973.515,,55.772,519.7,10
979.015,,56.204,554,10
984.515,,56.621,523,10
995.515,,57.456,425,10
1001.015,,57.87,426.3,10
1006.515,,58.306,425.3,10
1012.015,,58.769,431.7,10
1023.015,,59.726,430,10
1028.515,,60.25,444,10
1034.015,,60.823,484,10
1039.51,,61.422,434,10
1050.515,,62.535,456.7,10
1056.505,,63.189,444,10
1061.515,,63.771,449.3,10
1067.015,,64.39,452.7,10
1078.015,,65.602,456,10
1083.515,,66.234,460,10
1089.015,,66.87,450.3,10
1094.515,,67.509,472.7,10
1105.545,,68.526,448.7,10
1111.015,,69.008,432,10
1116.515,,69.531,457.3,10
1122.015,,70.108,447.7,10
1133.015,,71.214,469,10
1138.515,,71.696,476.7,10
1144.015,,72.143,415.7,10
1149.515,,72.599,424.3,10
1160.515,,73.694,441.7,10
1166.015,,74.239,472,10
1171.515,,74.761,450.3,10
1177.015,,75.311,477,10
1188.015,,76.36,515,10
1193.515,,76.872,536,10
1199.015,,77.371,535.3,10
1204.515,,77.853,549.3,10
1215.515,,78.817,595.3,10
1221.015,,79.266,605.5,10
1226.515,,79.711,616.3,10
1232.015,,80.142,629.3,10
1243.015,,80.97,485.3,10
1248.515,,81.389,464,10
1254.015,,81.824,450.3,10
1259.515,,82.283,452.3,10
1270.515,,83.248,468,10
1276.015,,83.754,448,10
1281.515,,84.323,479.7,10
1287.015,,84.917,502.3,10
1292.515,,85.522,502.3,10
1298.015,,86.109,493.7,10
1303.545,,86.638,463.3,10
1309.015,,87.169,445,10
1314.515,,87.735,460.7,10
1325.515,,88.923,447.3,10
1331.015,,89.492,437.3,10
1336.515,,90.033,439,10
1342.015,,90.6,435.7,10
1353.015,,91.697,436.3,10
1358.515,,92.24,442,10
1364.015,,92.747,453,10
1369.515,,93.289,485.7,10
1380.515,,94.395,491,10
1386.015,,94.944,504.7,10
1391.515,,95.49,511.3,10
1397.015,,96.015,523.7,10
1408.015,,97.126,530.3,10
1413.515,,97.675,547,10
1419.015,,98.193,547,10
1424.515,,98.723,542.3,10
1435.515,,99.831,472.3,10
1441.015,,100.403,498.3,10
1446.515,,101.005,559,10
1452.015,,101.604,581.3,10
1463.015,,102.843,617.7,10
1468.515,,103.482,595.3,10
1474.015,,104.139,483,10
1479.515,,104.797,460,10
1490.515,,106.182,507.7,10
1496.015,,106.892,508.7,10
1501.515,,107.58,504.7,10
1507.015,,108.257,496.3,10
1518.015,,109.62,455,10
1523.515,,110.254,466.7,10
1529.015,,110.875,470.7,10
1545.515,,112.582,501.3,10
1551.015,,113.14,501,10
1556.515,,113.66,504.3,10
1562.015,,114.156,543.7,10
1573.015,,115.13,548,10
1578.515,,115.591,578.7,10
1584.015,,116.042,577.7,10
1590.035,,116.563,590.7,10
1600.515,,117.438,575.7,10
1606.015,,117.893,590.7,10
1611.515,,118.346,598,10
1617.015,,118.785,613,10
1628.015,,119.658,607.3,10
1633.515,,120.078,599,10
1639.52,,120.554,606.8,10
1644.515,,120.959,615,10
1655.515,,121.783,621.3,10
1661.535,,122.291,632,10
1666.515,,122.711,641.7,10
1672.015,,123.172,646.7,10
1683.015,,124.138,659.7,10
1688.515,,124.578,651.3,10
1694.015,,125.007,646,10
1699.515,,125.42,677,10
1710.515,,126.137,715,10
1716.015,,126.476,722.3,10
1721.53,,126.832,644,10
1727.015,,127.194,536.7,10
1738.015,,127.922,515,10
1744.01,,128.36,499.3,10
1749.015,,128.75,518,10
1754.515,,129.199,493,10
1765.515,,130.197,461.3,10
1771.015,,130.784,460.3,10
1776.53,,131.459,506.3,10
1782.015,,132.16,436.3,10
1793.49,,134.037,408.7,10
1799.56,,135.172,394.7,10
1804.565,,136.117,405.7,10
1809.515,,137.087,432.3,10
1820.515,,139.317,359,10
1826.49,,140.535,375.3,10
1831.545,,141.523,401.3,10
1837.015,,142.58,375.3,10
1848.485,,144.821,421,10
1853.515,,145.778,470.7,10
1859.485,,146.917,432.7,10
1864.515,,147.867,404.3,10
1875.985,,149.908,425.7,10
1881.03,,150.843,401.5,10
1886.515,,151.954,393.3,10
1892.015,,153.126,406.7,10
1903.015,,155.551,410,10
1908.515,,156.7,440,10
1914.015,,157.664,415.3,10
1919.975,,158.817,423.7,10
1930.515,,160.887,417,10
1936.03,,162.05,383.5,10
1941.515,,163.268,433,10
1947.015,,164.467,479.3,10
1958.015,,166.589,478,10
1963.53,,167.683,447.5,10
1969.015,,168.875,480,10
1974.515,,169.988,433,10
1985.518,,172.323,471.3,10
1991.015,,173.551,499,10
1996.515,,174.765,550.3,10
2002.465,,176.119,479.3,10
2013.505,,178.737,496.3,10
2018.515,,180.007,527.7,10
2024.505,,181.595,532,10
2029.515,,182.91,475.7,10
2040.515,,185.542,446,10
2046.015,,186.514,425,10
2051.515,,187.527,432.3,10
2057.535,,188.849,471,10
2068.015,,191.04,493.3,10
2073.515,,192.312,487.7,10
2079.015,,193.43,534,10
2084.515,,194.493,564.3,10
2095.515,,196.322,609.3,10
2101.015,,197.184,627.3,10
2107.035,,198.147,539,10
2112.535,,199.056,538.7,10
2123.015,,201.119,435.7,10
2128.515,,202.308,462,10
2134.015,,203.467,490,10
2139.515,,204.504,487,10
2151.065,,206.643,515,10
2156.015,,207.543,532.3,10
2161.515,,208.492,565.3,10
2167.015,,209.418,579.3,10
2178.015,,211.327,585.7,10
2183.515,,212.335,573.7,10
2189.015,,213.295,561.3,10
2194.515,,214.186,505.7,10
2702.125,,391.85,484.9,21
2710.925,,395.601,590.1,10
2719.725,,398.959,606.8,10
2728.525,,402.021,653.2,10
2737.28,,404.94,707.5,11
2748.325,,408.552,709.7,25
2757.125,,411.689,690.3,10
2761.995,,413.554,619.7,10
2763.033,,413.961,629.6,10
2763.725,,414.237,628.1,10
2765.225,,414.826,670.7,10
2766.33,,415.253,668.2,10
2767.47,,415.702,657.6,10
2768.725,,416.197,654.8,10
2769.728,,416.601,665.4,10
2770.728,,417.007,673.9,10
2771.85,,417.467,678.2,10
2772.525,,417.748,689.1,10
2774.03,,418.397,684,10
2775.105,,418.9,671.8,10
2775.825,,419.239,689.4,10
2776.925,,419.752,665.2,10
2777.525,,420.04,648.6,10
2778.428,,420.471,622.2,10
2779.535,,420.97,603.5,10
2780.633,,421.416,605.2,10
2780.825,,421.492,584.1,10
2781.205,,421.641,497.5,10
2782.045,,421.973,507.7,10
2782.873,,422.321,456.6,10
2783.948,,422.799,458.7,10
2785.033,,423.309,411.5,10
2785.725,,423.661,412.6,10
2787.23,,424.515,405.7,10
2788.185,,425.1,380.1,10
2789.445,,425.938,393.6,10
2790.125,,426.433,389.2,10
2791.225,,427.338,391.5,10
2792.325,,428.348,380.6,10
2793.425,,429.366,380.6,10
2794.525,,430.352,384.7,10
2795.625,,431.341,394.7,10
2796.345,,432.001,391.5,10
2797.825,,433.397,404.5,10
2798.415,,433.946,400,10
2799.525,,434.975,437.5,10
2800.615,,435.982,438.7,10
2801.085,,436.403,439,10
2801.715,,436.905,491,10
2802.16,,437.253,427.3,10
2802.815,,437.749,408.7,10
2803.26,,438.091,452,10
2804.035,,438.696,474.3,10
2804.385,,438.983,506.3,10
2805.015,,439.501,427.3,10
2806.115,,440.394,388.7,10
2807.215,,441.251,381,10
2808.325,,442.146,383.7,10
2809.415,,443.039,402.7,10
2810.515,,443.926,426.3,10
2810.975,,444.297,486,10
2811.615,,444.803,467.7,10
2812.085,,445.17,434,16
2812.725,,445.641,412.4,10
2813.815,,446.456,408.3,10
2814.915,,447.33,398,10
2816.015,,448.281,408.7,10
2816.485,,448.702,424.3,10
2817.125,,449.276,521.4,22
2817.585,,449.692,463,10
2818.215,,450.251,491.3,10
2819.345,,451.194,447.7,10
2820.415,,452.053,442,10
2821.525,,452.989,490.9,16
2821.955,,453.368,491.3,11
2822.615,,453.966,429.7,10
2823.715,,454.934,442.7,10
2824.815,,455.871,482.3,10
2825.925,,456.763,481.8,10
2827.015,,457.539,440,10
2828.115,,458.235,456,10
2829.215,,458.958,474.7,10
2830.325,,459.801,504.1,10
2831.415,,460.622,517,10
2832.515,,461.345,528,10
2833.615,,462.035,496,10
2834.73,,462.807,531.1,19
2835.185,,463.14,503.7,10
2835.815,,463.608,491.7,10
2836.915,,464.385,504.3,10
2838.015,,465.118,506.7,10
2839.125,,465.842,516.4,10
2840.215,,466.543,543.7,10
2841.315,,467.249,543,10
2842.415,,467.952,568.7,10
2843.525,,468.656,582.6,10
2844.605,,469.32,583.3,10
2845.715,,469.981,615.3,10
2846.815,,470.617,624,10
2847.925,,471.246,587.5,10
2849.015,,471.86,558.3,10
2850.105,,472.477,584,10
2851.215,,473.122,534.3,10
2852.325,,473.794,500.5,10
2853.415,,474.465,500,10
2854.515,,475.143,517,10
2855.615,,475.829,495.7,10
2856.725,,476.532,514.3,10
2857.815,,477.216,521.7,10
2858.915,,477.907,516.3,10
2860.015,,478.614,506,10
2861.125,,479.326,509.1,10
2862.215,,480.029,499.3,10
2863.315,,480.757,495.7,10
2864.415,,481.503,511.7,10
2865.555,,482.286,521.9,13
2866.615,,483.025,517.3,10
2867.715,,483.784,515.3,10
2868.838,,484.55,549,10
2869.925,,485.279,566.4,10
2871.015,,486.032,524,10
2872.115,,486.821,579.3,10
2873.215,,487.591,601.3,10
2874.325,,488.356,573.2,10
2875.415,,489.144,582,10
2876.515,,489.993,556.7,10
2877.615,,490.863,533.3,10
2878.725,,491.741,519.6,18
2879.815,,492.586,495,10
2880.915,,493.436,487,10
2882.015,,494.302,486,10
2883.125,,495.177,488.3,10
2884.215,,496.017,496.3,10
2885.315,,496.853,507,10
2886.445,,497.69,519.3,10
2886.885,,498.013,482.7,10
2887.525,,498.487,477.4,10
2887.985,,498.828,501.3,10
2888.615,,499.281,508,10
2889.715,,500.062,507.3,10
2890.815,,500.841,512.3,10
2891.925,,501.621,499.1,10
2895.215,,503.896,524,10
2896.325,,504.655,521.9,11
2897.415,,505.398,535,10
2898.515,,506.189,516,10
2899.615,,507,533.7,10
2900.725,,507.833,517.8,10
2901.815,,508.681,533.7,10
2902.915,,509.53,538,10
2904.015,,510.37,541,10
2905.125,,511.202,528.9,10
2906.215,,512.013,518.3,10
2906.685,,512.351,519.7,10
2907.315,,512.807,463.7,10
2908.415,,513.633,440.7,10
2909.525,,514.549,449.8,10
2910.615,,515.508,420.3,10
2911.715,,516.521,422.3,10
2912.815,,517.578,458,10
2913.925,,518.63,449.4,10
2915.045,,519.689,490.3,10
2916.115,,520.679,496.7,10
2916.585,,521.117,467.3,10
2917.215,,521.706,448,10
2917.685,,522.147,415.3,10
2918.325,,522.765,399.6,10
2919.415,,523.843,391,10
2920.515,,524.918,408,10
2921.615,,525.986,404.7,10
2922.725,,527.065,426.5,10
2923.815,,528.193,418.3,10
2924.915,,529.386,408.7,10
2926.015,,530.542,390,10
2927.17,,531.724,433.5,10
2928.215,,532.764,456.3,10
2929.315,,533.751,472,10
2930.415,,534.71,477.3,10
2931.525,,535.743,490.8,10
2931.985,,536.185,443,10
2932.615,,536.754,431.3,10
2933.715,,537.701,471.3,10
2934.815,,538.575,500.7,10
2935.925,,539.379,519.4,10
2937.015,,540.155,557.3,10
2938.115,,540.98,577.7,10
2939.215,,541.868,575.3,10
2940.425,,542.915,530.7,10
2941.415,,543.815,495.7,33
2942.515,,544.886,442.7,10
2943.615,,545.966,442.7,10
2944.725,,547.002,467.9,10
2945.805,,547.989,492.3,10
2946.915,,548.976,501.3,10
2948.015,,549.922,515.7,10
2948.485,,550.327,510.7,10
2949.585,,551.259,464.3,10
2950.735,,552.215,483.7,10
2951.315,,552.689,486,10
2952.415,,553.549,497,10
2953.525,,554.371,494.6,10
2954.615,,555.18,532.3,10
2955.715,,555.987,528.7,10
2956.815,,556.795,554,10
2957.925,,557.61,549.5,11
2959.015,,558.377,579,10
2960.115,,559.146,581.3,10
2961.225,,559.932,589.3,10
2962.325,,560.708,576.5,10
2963.415,,561.459,627,10
2964.545,,562.234,618,10
2965.615,,562.961,626,10
2966.725,,563.712,620,10
2967.815,,564.459,603.3,10
2968.915,,565.212,615,10
2970.015,,565.955,613,10
2971.125,,566.729,588.5,10
2972.215,,567.495,590,10
2973.315,,568.261,589,10
2974.415,,569.019,587.7,10
2975.525,,569.775,579.8,10
2976.615,,570.522,597,10
2977.715,,571.285,594,10
2978.845,,572.077,610.3,10
2979.925,,572.854,603.8,10
2981.015,,573.628,614,10
2982.115,,574.423,612,10
2983.215,,575.233,613.3,10
2984.325,,576.061,598.4,11
2985.425,,576.869,619.5,10
2986.515,,577.648,605,10
2987.615,,578.436,600,10
2988.725,,579.234,580.5,10
2989.815,,580.036,589.3,10
2990.915,,580.865,584,10
2992.015,,581.685,596.7,10
2993.125,,582.479,578.9,10
2994.215,,583.21,602,10
2995.315,,583.933,601.7,10
2996.415,,584.649,618.3,10
2997.525,,585.401,608.7,10
2997.985,,585.723,520.7,10
2998.615,,586.195,505,10
2999.715,,587.078,484.3,10
3000.815,,588.063,488.3,10
3001.925,,589.189,482.4,10
3005.215,,592.76,470.3,10
3006.325,,594.012,451.2,10
3007.415,,595.178,468,10
3008.515,,596.228,480.3,10
3009.065,,596.726,428.3,10
3010.725,,598.347,483,10
3011.815,,599.444,509.7,10
3012.915,,600.491,538.7,10
3013.385,,600.916,463,10
3014.015,,601.48,448.3,10
3015.125,,602.571,465,11
3015.585,,603.081,495.7,10
3016.215,,603.782,544,10
3017.325,,605.006,534.3,10
3018.415,,606.164,542.3,10
3019.525,,607.304,525.9,10
3020.615,,608.39,503,10
3021.715,,609.463,532.7,10
3022.815,,610.5,537.7,10
3023.925,,611.482,577.9,32
3024.385,,611.872,576.7,10
3025.015,,612.401,582.7,10
3026.115,,613.273,592.7,10
3027.215,,614.114,619.7,10
3028.325,,614.956,600.7,10
3029.415,,615.76,620.3,10
3030.515,,616.564,617,10
3031.615,,617.37,611,10
3032.725,,618.205,603.8,10
3033.815,,619.056,602.3,10
3034.915,,619.918,609.3,10
3035.385,,620.286,626.7,10
3036.04,,620.799,660.7,14
3036.485,,621.145,618.3,10
3037.125,,621.645,571.7,16
3037.585,,622.011,572.7,10
3038.215,,622.509,478.3,10
3038.685,,622.873,474,10
3039.315,,623.358,386.3,10
3040.415,,624.238,355.7,10
3041.525,,625.304,376.4,10
3042.615,,626.618,360.7,10
3043.695,,628.085,373.3,10
3044.815,,629.664,373,14
3045.925,,631.243,369.4,10
3046.385,,631.909,386.3,10
3047.015,,632.823,428.7,10
3048.115,,634.345,428.7,10
3049.315,,635.911,425.7,10
3050.325,,637.217,414.4,10
3051.415,,638.602,409,10
3052.515,,640.007,396.7,10
3053.615,,641.419,414,10
3054.065,,641.987,398.3,10
3054.725,,642.783,343.5,10
3055.815,,644.129,359.3,10
3056.915,,645.583,401.7,10
3058.015,,647.13,384.3,10
3059.125,,648.679,413.6,10
